строительство	Возведение зданий, сооружений, изменение ландшафта территории; стройка, постройка;Строящееся здание или сооружение; территория, где оно строится.
двор	Участок земли при доме, огороженный забором или стенами зданий;Крестьянский дом со всеми хозяйственными постройками; отдельное крестьянское хозяйство.
завод	Промышленное или крупное промысловое предприятие;Предприятие для разведения животных
автомобиль	Самоходная машина с двигателем внутреннего сгорания для перевозки пассажиров и грузов по безрельсовым дорогам;
самолет	Летательный аппарат тяжелее воздуха с силовой установкой и крылом, создающим подъёмную силу
стена	Вертикальная часть здания, служащая для поддержания перекрытий и разделения помещения на части;Вертикальная боковая поверхность чего-л.
улица	Пространство между двумя рядами домов в населённом пункте для прохода и проезда; два ряда домов с проходом, проездом между ними;Жители домов, составляющих два таких ряда;Место вне помещения, под открытым небом
дорога	Полоса земли, служащая для езды и ходьбы;Место для прохода, проезда
площадь	Пространство земли, проектируемое или предназначенное для каких-л. целей;Незастроенное, обрамлённое какими-л. зданиями, зелёными насаждениями место в пределах города или села, составляющее часть городского, сельского пространства.
окно	Отверстие в стене здания или стенке какого-л. транспортного средства для света и воздуха; застеклённая рама, закрывающая это отверстие;Отверстие в перегородке, переборке, отделяющей служебный отдел помещения от посетителей
квартира	Отдельное жилое помещение в доме, состоящее из одной или нескольких комнат с кухней, передней
ученый	Получивший какие-л. специальные или разносторонние знания; грамотный, образованный;Высококвалифицированный специалист в области какой-л. науки.
специалист	Человек, профессионально владеющий какой-л. специальностью;Мастер в каком-л. деле, знаток в чём-л
институт	Высшее учебное заведение;Научно исследовательское учреждение
наука	Система знаний о закономерностях развития природы и общества и способах воздействия на окружающий мир;Навыки, знания, получаемые человеком в результате обучения или жизненного опыта
школа	Учебное заведение, которое осуществляет общее образование и воспитание молодого поколения; здание, в котором помещается это заведение;Система общего образования, совокупность соответствующих учреждений и учебных заведений
знание	Обладание достоверными сведениями о чём-л., осведомлённость в какой-л. области;Совокупность сведений, познаний в какой-л. области
технология	Совокупность методов, процессов и средств, используемых при производстве, изготовлении чего-л;Совокупность знаний о способах обработки материалов, изделий и методах осуществления каких-л. производственных процессов
факт	 Истинное событие, действительное происшествие или реальное явление, пример, случай;Реальность, действительность
фирма	Торговое или промышленное предприятие, пользующееся правом юридического лица, под маркой которого продаются или выпускаются изделия; производственное объединение;Модная одежда
руководитель	Тот, кто руководит кем-, чем-л., направляет деятельность кого-, чего-л
начальник	Должностное лицо, руководящее, заведующее чем-л
договор	Письменное или устное соглашение, условие о взаимных обязательствах
директор	Руководитель предприятия, учреждения или учебного заведения
рабочий	Человек, занятый физическим трудом в сфере материального производства; Зарабатывающий на жизнь трудом
экономика	Совокупность производственных отношений, соответствующих данной ступени развития производительных сил общества, господствующий способ производства в обществе определённой общественно экономической формации, экономический базис общества;Организация, структура и состояние хозяйства (страны, района и т.п.) или какой-л. отрасли хозяйственной деятельности
министр	Член правительства, возглавляющий министерство
регион	Обширный район, группа соседствующих стран или территорий, объединённых по нескольким общим признакам (географическим, экономическим, политическим)
гражданин	Лицо, принадлежащее к постоянному населению данного государства, пользующееся всеми правами, обеспеченными законами этого государства, и исполняющее все установленные законами обязанности, подданный какого-л. государства;форма официального обращения к мужчине
политика	Область человеческой деятельности, связанная с завоеванием, укреплением и использованием государственной власти для достижения какой-л. группой общества, партией и т.п. своих целей;События общественной, государственной жизни
служба	Работа, занятия, должность служащего; место такой работы и само пребывание на ней;Исполнение воинских обязанностей
партия	Политическая организация, выражающая интересы общественного класса или его слоя, защищающая их интересы и руководящая ими в достижении определённых целей и идеалов;Группа лиц, объединённых какими-л. общими интересами, воззрениями, единым мнением по какому-л. вопросу
федерация	Форма государственного устройства, при которой несколько государственных образований, обладающих определённой юридической и политической самостоятельностью, образуют одно союзное государство, государство, организованное на таких началах;Союз, объединение нескольких общественных организаций
общественный	Отражающий отношения, положение людей в обществе, связанный с их деятельностью в материальной и духовной жизни общества;Связанный с обслуживанием политических, культурных, профессиональных и т.п. нужд общества, коллектива, направленный на удовлетворение материальных и духовных нужд общества, коллектива
национальный	Выражающий характерные особенности какой-л. нации, национальности, свойственный какой-л. нации, национальности
мировой	Характерный для Земли, имеющий значение для населения всего земного шара
экономический	Материальный, денежный; связанный с материальным благосостоянием
социальный	Свойственный обществу, связанный с жизнью и отношениями людей в обществе, общественный
федеральный	Общегосударственный
музыка	Искусство, воплощающееся в звуковых художественных образах;Инструментальная разновидность этого искусства в отличие от вокальной
писатель	Тот, кто профессионально занимается литературной деятельностью
сцена	Специальная площадка, на которой даются представления;Театр, театральная деятельность;Отдельная часть действия, эпизод в пьесе, литературном произведении, картине
спектакль	Театральное представление;Интересное, смешное, необычное зрелище, происшествие
картина	Произведение живописи в красках на куске холста, доске, листе бумаги;То, что можно видеть, представлять себе в конкретных образах
искусство	 Творческое воспроизведение действительности в художественных образах, творческая художественная деятельность;Отрасль творческой художественной деятельности
фильм	 Произведение кинематографии, предназначенное для демонстрации на экране
культура	Совокупность достижений человеческого общества в производственной, общественной и духовной жизни;Общность археологических памятников определённой эпохи в развитии первобытного общества;Сфера человеческой деятельности, связанная с областью искусства, просветительской деятельностью
автор	Создатель литературного или иного художественного произведения, научного труда, проекта, изобретения
театр	Род искусства, художественное отражение жизни посредством сценического представления, осуществляемого актёрами перед зрителями;Учреждение, организация, занимающиеся устройством представлений;Здание, в котором происходят представления; само представление, спектакль
